CASEID,FUELTYPE,WEATHER,SURFCOND,VIN,DVTOTAL,ROLLOVER,SPEEDLIMIT,BODYTYPE,PASSENGERS,BELTED_PASSENGERS,GAD1,AIRBAG_DEPLOYED,FIRE
2400023,1,1,1,1N6AA1ED2MN5,25,1,56,3,2,2,F,1,1
2400024,1,2,2,WDDSJ4EBXGN3,25,1,80,1,2,2,F,1,1
2400030,1,4,3,5FNYF6H03LB0,999,2,129,2,5,5,R,1,1
2400035,1,1,1,5TFCZ5AN5HX1,999,1,89,3,1,1,F,1,1
2400042,1,2,2,1N4AA6AP4GC4,999,1,113,1,1,0,9,0,1
2400045,1,1,1,JF2SJARCXJH5,999,1,48,2,1,1,F,2,1
2400062,1,1,1,1G1ZH5SX4GF3,999,1,89,1,1,1,F,2,1
2400074,1,1,2,2HGFC2F73GH5,999,1,105,1,2,2,L,1,1
2400090,1,1,1,5GAEVAKW1MJ2,999,1,40,2,3,3,F,1,1
2400103,1,4,3,5N1AT2MT6FC7,999,1,105,1,1,0,U,2,1
2400105,1,1,1,1HGCY1F38PA0,999,1,105,1,1,1,F,2,1
2400107,1,4,3,2T1BURHE7FC3,22,1,121,1,2,2,F,2,1
2400124,1,1,1,3N1AB8CV9MY2,999,1,105,1,1,1,R,2,1
2400165,1,4,5,5TFLA5DB1NX0,18,1,113,3,3,3,F,2,1
2400167,1,8,4,3N1CP5CV3NL5,999,1,129,1,1,1,F,2,1
2400169,1,1,1,1GNDV23168D2,999,2,121,4,1,0,L,2,1
2400179,1,4,5,1GCEK14R2WZ1,999,2,89,3,1,0,T,2,1
2400187,1,1,3,KMHLL4DG2RU6,999,1,113,1,2,0,U,2,1
2400217,1,1,1,3FAHP0HA3CR4,999,1,113,1,1,1,F,1,1
2400227,1,4,3,1GNEC13T31R1,999,2,113,2,1,0,R,1,1
2400236,1,1,1,LYV402TK6HB1,999,1,56,1,1,1,F,2,1
2400238,1,4,3,5N1AR2MM7FC6,17,1,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,17,1,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,17,1,999,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,17,1,999,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,17,0,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,17,0,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,17,0,999,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,17,0,999,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,1,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,1,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,1,999,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,1,999,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,0,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,0,40,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,0,999,2,1,1,F,1,1
2400238,1,4,3,5N1AR2MM7FC6,999,0,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,1,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,1,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,1,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,1,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,0,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,0,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,0,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,17,0,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,1,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,1,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,1,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,1,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,0,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,0,40,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,0,999,2,1,1,F,1,1
2400238,1,4,3,5J6RM4H45GL1,999,0,999,2,1,1,F,1,1
2400249,1,4,5,5J6RT6H84NL0,999,1,40,2,3,2,F,2,1
2400249,11,4,5,5J6RT6H84NL0,999,1,40,2,3,2,F,2,1
2400261,1,1,1,KNDPMCAC5M78,999,1,48,2,1,1,F,2,1
2400271,1,1,5,1G4HD57286U2,999,1,56,1,1,0,F,1,1
2400276,1,8,1,3MVDMBCM4PM5,24,1,113,2,1,1,F,1,1
2400279,1,1,1,1J4HA5H14BL5,38,1,72,2,1,0,F,1,1
2400287,1,1,1,5YFBURHE1GP5,32,1,72,1,1,0,F,1,1
2400291,1,2,2,3FAHP08Z68R2,21,1,97,1,1,1,L,1,1
2400298,1,1,1,1N4AL2AP1BN4,999,1,89,1,1,1,F,1,1
2400301,1,2,2,3FA6P0H70GR2,999,1,89,1,1,0,R,2,1
2400305,1,1,1,1FTEW1E81PFB,999,1,80,3,1,1,F,2,1
2400306,1,3,2,KM8J3CAL2MU3,999,1,72,2,1,1,F,2,1
2400308,1,1,1,3GKALVEX4KL2,999,1,89,2,1,1,F,2,1
2400312,1,2,2,1C3CCCAB3GN1,999,1,64,1,1,1,L,1,1
2400313,1,10,5,1G1AK55F0677,999,2,113,1,1,0,T,2,1
2400325,1,1,1,1FTEW1E89PFB,999,1,121,3,1,0,F,1,1
2400351,1,2,2,5NPE34AF9FH2,999,1,105,1,1,0,F,1,1
2400353,1,10,5,2HGFA1F54AH3,6,1,89,1,1,0,R,2,1
2400366,1,1,1,1G1JC5SH8D42,63,1,64,1,1,0,F,1,1
2400371,1,1,5,4S4WMAPD7L34,11,1,89,2,1,1,F,1,1
2400381,1,8,5,JA4MT31H3YP0,999,1,72,2,1,0,N,2,2
2400382,1,1,5,4S3BK6354S73,17,1,40,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,17,1,40,3,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,17,1,999,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,17,1,999,3,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,17,0,40,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,17,0,40,3,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,17,0,999,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,17,0,999,3,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,1,40,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,1,40,3,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,1,999,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,1,999,3,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,0,40,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,0,40,3,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,0,999,1,1,0,F,2,1
2400382,1,1,5,4S3BK6354S73,999,0,999,3,1,0,F,2,1
2400382,1,1,5,5TFUM5F1XCX0,17,1,40,1,1,0,F,2,1
2400382,1,1,5,5TFUM5F1XCX0,17,1,40,3,1,0,F,2,1
2400382,1,1,5,5TFUM5F1XCX0,17,1,999,1,1,0,F,2,1
2400382,1,1,5,5TFUM5F1XCX0,17,1,999,3,1,0,F,2,1
2400382,1,1,5,5TFUM5F1XCX0,17,0,40,1,1,0,F,2,1
